Orthogroup	CquinquefasciatusJHB2020	AsinensisChina
OG0000165	CQUJHB001386	ASIC020380
OG0000165	CQUJHB008494	ASIC020379, ASIC020381
OG0000166	CQUJHB002907	ASIC012923
OG0000166	CQUJHB004489	ASIC012924
OG0000166	CQUJHB009503, CQUJHB000077	ASIC012921
OG0000171	CQUJHB005596	ASIC004812, ASIC004811
OG0000171	CQUJHB006525	ASIC004810
OG0000172	CQUJHB004762	ASIC017527
OG0000172	CQUJHB006283	ASIC017517, ASIC017518
OG0000172	CQUJHB018212	ASIC017545, ASIC017548
OG0000172	CQUJHB003020	ASIC017547
OG0000173	CQUJHB013713	ASIC022306
OG0000173	CQUJHB001093, CQUJHB007201	ASIC022304
OG0000174	CQUJHB012327	ASIC009499
OG0000174	CQUJHB009037, CQUJHB004035	ASIC007084
OG0000181	CQUJHB018406, CQUJHB017566	ASIC019035, ASIC019034
OG0000182	CQUJHB010205	ASIC020912
OG0000182	CQUJHB012840	ASIC020913
OG0000183	CQUJHB008471, CQUJHB008317, CQUJHB015904, CQUJHB015217	ASIC011096
OG0000184	CQUJHB005313	ASIC007210
OG0000184	CQUJHB020350, CQUJHB003938, CQUJHB000274	ASIC007209
OG0000185	CQUJHB017110, CQUJHB016405, CQUJHB006617	ASIC014499, ASIC014498
OG0000185	CQUJHB017959, CQUJHB000372	ASIC018463, ASIC018459
OG0000187	CQUJHB008770, CQUJHB004129, CQUJHB012844, CQUJHB004306, CQUJHB008082, CQUJHB013210, CQUJHB015795, CQUJHB005653, CQUJHB013231, CQUJHB020318, CQUJHB020398, CQUJHB020313, CQUJHB020424, CQUJHB020405, CQUJHB016508, CQUJHB015181, CQUJHB011232, CQUJHB002253, CQUJHB009569, CQUJHB014578, CQUJHB015136	ASIC003343
OG0000189	CQUJHB011357	ASIC020927
OG0000189	CQUJHB001514	ASIC004914
OG0000190	CQUJHB014000	ASIC009037
OG0000190	CQUJHB013041	ASIC004005
OG0000191	CQUJHB013758, CQUJHB002302, CQUJHB016362, CQUJHB011469	ASIC011618, ASIC011619, ASIC011617, ASIC011616
OG0000192	CQUJHB011350	ASIC003853
OG0000192	CQUJHB011486	ASIC021385
OG0000192	CQUJHB006523	ASIC006813
OG0000193	CQUJHB016836, CQUJHB008892, CQUJHB000131	ASIC005170, ASIC009034, ASIC004649
OG0000194	CQUJHB007940	ASIC007163
OG0000196	CQUJHB015310, CQUJHB014474, CQUJHB002527, CQUJHB011596, CQUJHB015062	ASIC009091
OG0000200	CQUJHB003055	ASIC004374
OG0000200	CQUJHB000054	ASIC004381
OG0000201	CQUJHB015906	ASIC018737
OG0000201	CQUJHB013148, CQUJHB016903	ASIC018748
OG0000202	CQUJHB013321, CQUJHB012941	ASIC005159
OG0000203	CQUJHB018349	ASIC022196
OG0000203	CQUJHB014121, CQUJHB004265, CQUJHB018395	ASIC022191, ASIC022195
OG0000203	CQUJHB001614	ASIC022193, ASIC022189
OG0000204	CQUJHB015536, CQUJHB018050	ASIC018858, ASIC018857
OG0000204	CQUJHB009121	ASIC018860
OG0000205	CQUJHB006892	ASIC007148
OG0000206	CQUJHB009215, CQUJHB015605, CQUJHB002272	ASIC009932, ASIC009934, ASIC009931, ASIC009933
OG0000207	CQUJHB009425	ASIC020302, ASIC020301
OG0000208	CQUJHB009267, CQUJHB007743	ASIC004792
OG0000208	CQUJHB002746	ASIC004793, ASIC004794, ASIC004795
OG0000209	CQUJHB000140	ASIC018130
OG0000210	CQUJHB015488, CQUJHB015097, CQUJHB007162	ASIC005087, ASIC005086
OG0000217	CQUJHB018057	ASIC021690
OG0000217	CQUJHB008942	ASIC007120
OG0000217	CQUJHB006291	ASIC021693
OG0000219	CQUJHB009528, CQUJHB009252, CQUJHB018120, CQUJHB007367	ASIC017087
OG0000220	CQUJHB017724	ASIC021082
OG0000220	CQUJHB002011	ASIC021083
OG0000220	CQUJHB008956	ASIC021081
OG0000221	CQUJHB011640	ASIC016222, ASIC016221, ASIC016220
OG0000221	CQUJHB016680, CQUJHB007754	ASIC019669, ASIC019668
OG0000222	CQUJHB015532	ASIC014190
OG0000222	CQUJHB017485, CQUJHB013750	ASIC014179
OG0000223	CQUJHB009151	ASIC011432
OG0000224	CQUJHB005624	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365
OG0000225	CQUJHB016925, CQUJHB017410, CQUJHB002547, CQUJHB013654, CQUJHB010873	ASIC021356
OG0000229	CQUJHB010008	ASIC021403, ASIC004678
OG0000230	CQUJHB018077, CQUJHB010793, CQUJHB004599, CQUJHB013294, CQUJHB000972	ASIC005288
OG0000231	CQUJHB015552, CQUJHB009864	ASIC011666, ASIC011669
OG0000232	CQUJHB004882	ASIC012966, ASIC012965
OG0000233	CQUJHB013827, CQUJHB005784	ASIC011408
OG0000234	CQUJHB012585	ASIC020664
OG0000235	CQUJHB006661, CQUJHB013626, CQUJHB008173, CQUJHB013536, CQUJHB015825	ASIC017168, ASIC009033
OG0000236	CQUJHB005892, CQUJHB007626, CQUJHB015922	ASIC011385, ASIC008198, ASIC015967
OG0000237	CQUJHB010154	ASIC003194
OG0000244	CQUJHB007355	ASIC022012
OG0000244	CQUJHB012679	ASIC022140
OG0000245	CQUJHB000799	ASIC005515, ASIC005518
OG0000245	CQUJHB016506, CQUJHB007248, CQUJHB011910	ASIC005516
OG0000247	CQUJHB002713, CQUJHB017013	ASIC016691, ASIC016692
OG0000247	CQUJHB002013	ASIC019252
OG0000248	CQUJHB007060	ASIC017750
