Orthogroup	CquinquefasciatusJHB2020	AgambiaePEST
OG0000154	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899	AGAP002894, AGAP008218, AGAP008217, AGAP008219
OG0000155	CQUJHB007333, CQUJHB008665, CQUJHB002705, CQUJHB004511, CQUJHB005859, CQUJHB001497	AGAP004355, AGAP004356, AGAP004357, AGAP004354
OG0000157	CQUJHB001379	AGAP028217
OG0000157	CQUJHB007316, CQUJHB018173, CQUJHB009836	AGAP007154
OG0000161	CQUJHB017743	AGAP009830
OG0000161	CQUJHB000076	AGAP006796, AGAP006795
OG0000162	CQUJHB009418	AGAP012318
OG0000162	CQUJHB020435, CQUJHB014569	AGAP012325
OG0000162	CQUJHB004329	AGAP012321
OG0000162	CQUJHB020337	AGAP012320
OG0000163	CQUJHB015427	AGAP009436
OG0000163	CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576	AGAP009434
OG0000163	CQUJHB004810, CQUJHB003658	AGAP009435
OG0000164	CQUJHB011226	AGAP004571
OG0000164	CQUJHB016036	AGAP004567
OG0000164	CQUJHB012144, CQUJHB018124	AGAP004566
OG0000164	CQUJHB012545	AGAP004570
OG0000165	CQUJHB004809	AGAP000194
OG0000165	CQUJHB001386	AGAP000192
OG0000165	CQUJHB008494	AGAP000193, AGAP010414
OG0000166	CQUJHB002907	AGAP006048
OG0000166	CQUJHB004489	AGAP006049
OG0000166	CQUJHB009503, CQUJHB000077	AGAP006047
OG0000171	CQUJHB005596	AGAP011348
OG0000171	CQUJHB006525	AGAP011347
OG0000172	CQUJHB004762	AGAP011613
OG0000172	CQUJHB006283	AGAP011609
OG0000172	CQUJHB003020	AGAP011618
OG0000173	CQUJHB013713	AGAP029928
OG0000173	CQUJHB001093, CQUJHB007201	AGAP010764
OG0000174	CQUJHB012327	AGAP000694
OG0000174	CQUJHB009037, CQUJHB004035	AGAP000693
OG0000180	CQUJHB005835, CQUJHB005816, CQUJHB007916, CQUJHB006996, CQUJHB001222, CQUJHB013519, CQUJHB008661, CQUJHB002191, CQUJHB000686, CQUJHB009673, CQUJHB009193, CQUJHB000772	AGAP008448
OG0000181	CQUJHB018406, CQUJHB017566	AGAP006076, AGAP006077, AGAP006078, AGAP006079, AGAP006075
OG0000182	CQUJHB010205	AGAP003722, AGAP012784
OG0000182	CQUJHB012840	AGAP003720
OG0000182	CQUJHB007241	AGAP003721
OG0000183	CQUJHB008471, CQUJHB008317, CQUJHB015904, CQUJHB015217	AGAP002979, AGAP002423, AGAP002973
OG0000184	CQUJHB005313	AGAP009519
OG0000184	CQUJHB020350, CQUJHB003938, CQUJHB000274	AGAP009520
OG0000185	CQUJHB017110, CQUJHB016405, CQUJHB006617	AGAP029203, AGAP010657
OG0000185	CQUJHB017959, CQUJHB000372	AGAP005768
OG0000187	CQUJHB008770, CQUJHB004129, CQUJHB012844, CQUJHB004306, CQUJHB008082, CQUJHB013210, CQUJHB015795, CQUJHB005653, CQUJHB013231, CQUJHB020318, CQUJHB020398, CQUJHB020313, CQUJHB020424, CQUJHB020405, CQUJHB016508, CQUJHB015181, CQUJHB011232, CQUJHB002253, CQUJHB009569, CQUJHB014578, CQUJHB015136	AGAP002905
OG0000188	CQUJHB017292, CQUJHB007220, CQUJHB003135	AGAP004855
OG0000189	CQUJHB011357	AGAP003711
OG0000189	CQUJHB001514	AGAP001588, AGAP012818
OG0000189	CQUJHB016877	AGAP001587
OG0000190	CQUJHB014000	AGAP029641
OG0000190	CQUJHB013041	AGAP008320
OG0000190	CQUJHB007455	AGAP009683
OG0000191	CQUJHB013758, CQUJHB002302, CQUJHB016362, CQUJHB011469	AGAP005966, AGAP005967, AGAP005968, AGAP005969
OG0000192	CQUJHB011350	AGAP008588
OG0000192	CQUJHB011486	AGAP002152
OG0000192	CQUJHB006523	AGAP000962
OG0000193	CQUJHB016836, CQUJHB008892, CQUJHB000131	AGAP002022
OG0000194	CQUJHB007940	AGAP009540, AGAP009541, AGAP012649
OG0000196	CQUJHB015310, CQUJHB014474, CQUJHB002527, CQUJHB011596, CQUJHB015062	AGAP008557
OG0000200	CQUJHB003055	AGAP011195
OG0000200	CQUJHB000054	AGAP011194
OG0000200	CQUJHB006956	AGAP002325
OG0000201	CQUJHB002501, CQUJHB011456	AGAP006207
OG0000201	CQUJHB015906	AGAP006208
OG0000201	CQUJHB013148, CQUJHB016903	AGAP006209
OG0000202	CQUJHB017404, CQUJHB010576	AGAP000288
OG0000202	CQUJHB013321, CQUJHB012941	AGAP000289
OG0000203	CQUJHB018349	AGAP029591
OG0000203	CQUJHB014121, CQUJHB004265, CQUJHB018395	AGAP029307
OG0000203	CQUJHB001614	AGAP028615
OG0000204	CQUJHB015536, CQUJHB018050	AGAP006911
OG0000204	CQUJHB009121	AGAP006910
OG0000205	CQUJHB011157	AGAP029783, AGAP012696
OG0000205	CQUJHB006892	AGAP009551, AGAP012673, AGAP009553, AGAP012672, AGAP009552
OG0000206	CQUJHB009215, CQUJHB015605, CQUJHB002272	AGAP008630, AGAP028029
OG0000207	CQUJHB009425	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634, AGAP001004
OG0000208	CQUJHB009267, CQUJHB007743	AGAP011182
OG0000208	CQUJHB002746	AGAP011183
OG0000208	CQUJHB017609, CQUJHB006033, CQUJHB016545	AGAP011184
OG0000209	CQUJHB000140	AGAP011893
