Orthogroup	AfunestusAfunGA1	CquinquefasciatusJHB2020
OG0000080	AFUN2_013190	CQUJHB015069
OG0000080	AFUN2_009609, AFUN2_005626	CQUJHB005257, CQUJHB005516
OG0000081	AFUN2_011577	CQUJHB001153
OG0000081	AFUN2_012341	CQUJHB000320
OG0000082	AFUN2_012054	CQUJHB007898
OG0000085	AFUN2_010241, AFUN2_007525, AFUN2_013450, AFUN2_004039	CQUJHB014727, CQUJHB008083
OG0000086	AFUN2_006387, AFUN2_009185, AFUN2_010974	CQUJHB008375, CQUJHB001568, CQUJHB015160
OG0000086	AFUN2_001324	CQUJHB012368
OG0000088	AFUN2_014792	CQUJHB009482
OG0000088	AFUN2_006389, AFUN2_012429	CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474
OG0000089	AFUN2_006698	CQUJHB015151
OG0000089	AFUN2_004303, AFUN2_011302, AFUN2_007001, AFUN2_005638, AFUN2_010754, AFUN2_005237, AFUN2_004286	CQUJHB003816
OG0000089	AFUN2_005151	CQUJHB012139
OG0000090	AFUN2_012179	CQUJHB017497
OG0000090	AFUN2_004646	CQUJHB007824
OG0000091	AFUN2_004400	CQUJHB017444
OG0000093	AFUN2_007977, AFUN2_002700, AFUN2_008506, AFUN2_003712, AFUN2_001084, AFUN2_009469, AFUN2_002675, AFUN2_005353, AFUN2_012981, AFUN2_005338	CQUJHB010789
OG0000096	AFUN2_007046	CQUJHB002716
OG0000096	AFUN2_000740	CQUJHB018308
OG0000096	AFUN2_004816	CQUJHB008108
OG0000096	AFUN2_002084	CQUJHB008616
OG0000097	AFUN2_004895	CQUJHB012977
OG0000097	AFUN2_005456	CQUJHB011218, CQUJHB006589
OG0000097	AFUN2_013795	CQUJHB017887
OG0000097	AFUN2_011155, AFUN2_013131	CQUJHB015073
OG0000098	AFUN2_000935	CQUJHB009178, CQUJHB009893, CQUJHB003108, CQUJHB017910
OG0000100	AFUN2_004153	CQUJHB007834, CQUJHB012317, CQUJHB013140, CQUJHB012708
OG0000101	AFUN2_010533	CQUJHB011092, CQUJHB004788, CQUJHB017263
