Orthogroup	AfunestusAfunGA1	LlongipalpisASM
OG0000059	AFUN2_006267, AFUN2_010578, AFUN2_006502, AFUN2_012387, AFUN2_014242, AFUN2_009466	LOC129794147
OG0000061	AFUN2_000988	LOC129795031
OG0000061	AFUN2_001934	LOC129795029, LOC129795028
OG0000061	AFUN2_011828, AFUN2_001889	LOC129795034
OG0000064	AFUN2_002334, AFUN2_013676, AFUN2_011232, AFUN2_012759, AFUN2_002312	LOC129790088, LOC129790085
OG0000067	AFUN2_003888, AFUN2_012011, AFUN2_003045	LOC129796553, LOC129796550, LOC129789877, LOC129796549
OG0000067	AFUN2_008039, AFUN2_008602	LOC129796552
OG0000068	AFUN2_012196, AFUN2_006617	LOC129794030
OG0000068	AFUN2_013302, AFUN2_009586	LOC129794029, LOC129794026, LOC129794027
OG0000069	AFUN2_014241, AFUN2_004523, AFUN2_006118, AFUN2_010311, AFUN2_012252	LOC129797773, LOC129786174, LOC129792812
OG0000071	AFUN2_007775, AFUN2_009753, AFUN2_014078, AFUN2_008604, AFUN2_008424, AFUN2_006008	LOC129797006
OG0000072	AFUN2_010362	LOC129787850, LOC129787849
OG0000073	AFUN2_006853, AFUN2_012208	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100
OG0000077	AFUN2_011333, AFUN2_001755	LOC129789368, LOC129791094
OG0000077	AFUN2_000688, AFUN2_006649, AFUN2_002148	LOC129793367
OG0000078	AFUN2_005192, AFUN2_010088, AFUN2_000476, AFUN2_002448, AFUN2_006245, AFUN2_002769, AFUN2_012944, AFUN2_014773, AFUN2_014774, AFUN2_012543, AFUN2_006933, AFUN2_002243, AFUN2_010739, AFUN2_007797, AFUN2_009705, AFUN2_004461, AFUN2_011486	LOC129795036
OG0000079	AFUN2_004202, AFUN2_012158, AFUN2_003268, AFUN2_001951, AFUN2_003859	LOC129796831
OG0000080	AFUN2_011331, AFUN2_001435, AFUN2_013190, AFUN2_009609, AFUN2_005626	LOC129790108
OG0000086	AFUN2_011858, AFUN2_006387, AFUN2_009185, AFUN2_010974, AFUN2_001324	LOC129787729, LOC129787734
OG0000088	AFUN2_014792, AFUN2_006389, AFUN2_012429	LOC129795927, LOC129794489, LOC129796007
OG0000090	AFUN2_012179	LOC129787919, LOC129787933
OG0000090	AFUN2_011067, AFUN2_004646	LOC129793252
OG0000091	AFUN2_004400	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148
OG0000093	AFUN2_007977, AFUN2_002700, AFUN2_008506, AFUN2_003712, AFUN2_001084, AFUN2_009469, AFUN2_002675, AFUN2_005353, AFUN2_012981, AFUN2_005338	LOC129786127
OG0000096	AFUN2_007046	LOC129794915
OG0000096	AFUN2_000740, AFUN2_004816, AFUN2_002084	LOC129794914
OG0000097	AFUN2_004895, AFUN2_005456, AFUN2_013795, AFUN2_011155, AFUN2_013131	LOC129797700, LOC129797734
OG0000108	AFUN2_013458	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974
OG0000109	AFUN2_009795	LOC129796958
OG0000109	AFUN2_004467	LOC129787301
OG0000114	AFUN2_001369, AFUN2_010132, AFUN2_006701, AFUN2_007376	LOC129791409
OG0000115	AFUN2_007755, AFUN2_008885	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063
OG0000116	AFUN2_012892, AFUN2_001632, AFUN2_011292	LOC129790116, LOC129790115, LOC129790117
OG0000116	AFUN2_005701	LOC129791153
