Orthogroup	AdirusWRAIR2	Aalbopictus_AalbF5
OG0000226	ADIR006402, ADIR006405, ADIR006404	LOC115267924
OG0000229	ADIR002810	LOC115261304, LOC109433437
OG0000229	ADIR005804, ADIR005315	LOC109433439
OG0000230	ADIR006854	LOC109418314, LOC115262116, LOC115254047, LOC115262033, LOC109410481, LOC109418283, LOC109408717
OG0000231	ADIR007453, ADIR007454	LOC109413995, LOC109413996, LOC109418733, LOC109418736, LOC109418734, LOC109406485
OG0000232	ADIR006899, ADIR016139, ADIR016138	LOC115270106, LOC109404909
OG0000233	ADIR010041	LOC109420036, LOC109420035
OG0000234	ADIR000732	LOC109425149
OG0000234	ADIR000742	LOC109429432
OG0000234	ADIR000738	LOC109425152
OG0000235	ADIR002045	LOC109427843, LOC115264006, LOC109431305, LOC115268708, LOC109407713
OG0000236	ADIR010024, ADIR000559	LOC109621447
OG0000237	ADIR015947, ADIR015946	LOC134287958
OG0000244	ADIR005063	LOC109418168
OG0000244	ADIR005071	LOC109419321
OG0000245	ADIR002600	LOC109622453, LOC134285569
OG0000247	ADIR007929, ADIR007928	LOC109426621, LOC109426620
OG0000247	ADIR007931	LOC115265701
OG0000248	ADIR015997	LOC134289022, LOC109420537
OG0000248	ADIR015996	LOC115255069
OG0000249	ADIR001663	LOC115269854, LOC109424258, LOC109428726, LOC109424255, LOC109430243
OG0000250	ADIR015773	LOC109406934
OG0000250	ADIR015774	LOC109427354
OG0000250	ADIR015775	LOC109427342
OG0000251	ADIR002011	LOC109425991, LOC115268065
OG0000252	ADIR001823	LOC109621456, LOC109621460, LOC115267995
OG0000252	ADIR014170, ADIR014169	LOC109403797, LOC115263127
OG0000253	ADIR010453, ADIR010451, ADIR010452	LOC109402465, LOC115264085, LOC109402468, LOC109423550, LOC115264289
OG0000254	ADIR005871	LOC109399873
OG0000254	ADIR008307	LOC109399939
OG0000255	ADIR008975	LOC109413823, LOC109409608, LOC109409607, LOC115255265, LOC109405777
OG0000256	ADIR003547	LOC115261575, LOC109405995
OG0000257	ADIR004880	LOC134287573, LOC109421507, LOC109621297, LOC109421508, LOC109622956
