Orthogroup	AdirusWRAIR2	LlongipalpisASM
OG0000500	ADIR001164, ADIR007528	LOC129788005
OG0000502	ADIR015872, ADIR011596	LOC129785827
OG0000504	ADIR010398, ADIR005554	LOC129793723
OG0000506	ADIR000144	LOC129792624
OG0000507	ADIR011452, ADIR006617	LOC129791979
OG0000509	ADIR007446, ADIR007447, ADIR007448	LOC129792415
OG0000510	ADIR000926, ADIR002571	LOC129791881
OG0000511	ADIR008094, ADIR016142	LOC129797841
OG0000512	ADIR002377	LOC129789515
OG0000512	ADIR002378	LOC129789516
OG0000514	ADIR008504, ADIR004788	LOC129785846
OG0000515	ADIR015942, ADIR015940	LOC129790939
OG0000516	ADIR002633	LOC129791524, LOC129797636
OG0000517	ADIR005492, ADIR005493	LOC129795838, LOC129787799, LOC129787785, LOC129789028, LOC129790802
OG0000518	ADIR007074, ADIR007072	LOC129793591
OG0000520	ADIR006171	LOC129788574
OG0000521	ADIR007269	LOC129792109
OG0000521	ADIR010663	LOC129792300
OG0000522	ADIR003989, ADIR003992	LOC129788714
OG0000523	ADIR005431	LOC129797678
OG0000523	ADIR004398	LOC129795335
OG0000524	ADIR007502, ADIR007504	LOC129792438
OG0000526	ADIR001209, ADIR004082	LOC129796859, LOC129794163
OG0000527	ADIR005535, ADIR005536	LOC129787200
OG0000528	ADIR007580, ADIR007576	LOC129793220
OG0000535	ADIR005911	LOC129788946, LOC129788947
OG0000536	ADIR008027, ADIR002347	LOC129786855
OG0000538	ADIR003261	LOC129785868
OG0000540	ADIR002371	LOC129795815, LOC129795822
OG0000542	ADIR002521	LOC129787142
OG0000542	ADIR002522	LOC129787129
OG0000543	ADIR001792	LOC129790875, LOC129790828
OG0000544	ADIR006076	LOC129793436
OG0000544	ADIR008375	LOC129793456
OG0000546	ADIR000983	LOC129791189
OG0000547	ADIR009748, ADIR008851	LOC129789445
OG0000549	ADIR007473, ADIR011705, ADIR011704	LOC129796163, LOC129787746
OG0000550	ADIR004260	LOC129793857
OG0000551	ADIR005366	LOC129787904, LOC129787888
OG0000552	ADIR005528, ADIR005530, ADIR005529	LOC129793549
OG0000553	ADIR008143	LOC129792363
OG0000555	ADIR005419	LOC129786450
OG0000557	ADIR002816, ADIR001118	LOC129791307
OG0000558	ADIR010572, ADIR001028	LOC129793107
OG0000559	ADIR010538, ADIR010539	LOC129787647
OG0000560	ADIR004634	LOC129791771, LOC129796515
OG0000561	ADIR003887	LOC129792671
OG0000562	ADIR008626	LOC129796001
OG0000562	ADIR008625	LOC129793753, LOC129796544
OG0000563	ADIR015945, ADIR015943	LOC129787428
OG0000564	ADIR011483	LOC129790481, LOC129790484
OG0000565	ADIR004400, ADIR009049	LOC129788762
OG0000566	ADIR000074, ADIR000076	LOC129795066
OG0000567	ADIR004302	LOC129794069
OG0000567	ADIR007725	LOC129794176
OG0000568	ADIR004213	LOC129793949
OG0000569	ADIR010351	LOC129797441, LOC129797546
OG0000572	ADIR009206, ADIR009208	LOC129793426
OG0000573	ADIR002372	LOC129790886
OG0000574	ADIR004769, ADIR004770	LOC129790054
OG0000579	ADIR007934, ADIR004490	LOC129793001
OG0000581	ADIR001607, ADIR001609	LOC129792112
OG0000582	ADIR015869	LOC129791278
OG0000582	ADIR015868	LOC129790571
OG0000584	ADIR000206, ADIR000205, ADIR000208	LOC129795290
OG0000586	ADIR003218	LOC129786887, LOC129790177
OG0000588	ADIR010647	LOC129797624
OG0000606	ADIR010706	LOC129795943, LOC129795511
OG0000607	ADIR000209	LOC129796412
OG0000608	ADIR006043, ADIR006044	LOC129790262
OG0000609	ADIR006271	LOC129789280, LOC129790035, LOC129789951, LOC129791241, LOC129788166, LOC129795243, LOC129794971, LOC129794411
OG0000610	ADIR007166, ADIR007165	LOC129793437
OG0000611	ADIR007100	LOC129794969, LOC129792305
OG0000612	ADIR006139	LOC129793245, LOC129791742
OG0000613	ADIR014298, ADIR003502	LOC129797020
OG0000614	ADIR003599	LOC129794514, LOC129787902
OG0000615	ADIR007513	LOC129793095
OG0000616	ADIR016185, ADIR016184	LOC129787986
OG0000618	ADIR004564, ADIR001182	LOC129786155
OG0000619	ADIR003359	LOC129790543
OG0000621	ADIR009431, ADIR001339	LOC129789158
OG0000622	ADIR005772	LOC129791514, LOC129795662, LOC129794311, LOC129795246
OG0000623	ADIR001819, ADIR001948	LOC129795989
OG0000624	ADIR006550	LOC129787186
