Orthogroup	Aalbopictus_AalbF5	AminimusMINIMUS1
OG0000257	LOC134287573, LOC109421507, LOC109621297, LOC109421508, LOC109622956	AMIN001432, AMIN001434
OG0000260	LOC109428141	AMIN003553
OG0000263	LOC134286972	AMIN014004
OG0000265	LOC115253485, LOC109432322	AMIN010596, AMIN010587
OG0000265	LOC109413251	AMIN005808
OG0000266	LOC109405673	AMIN001628
OG0000266	LOC109401438	AMIN006383, AMIN006382
OG0000267	LOC109404182	AMIN004770
OG0000268	LOC109398343	AMIN007059, AMIN007060
OG0000268	LOC115262167	AMIN007061
OG0000269	LOC109430310, LOC109430352, LOC109412453	AMIN016284
OG0000270	LOC109400467	AMIN011416, AMIN008623, AMIN015971
OG0000271	LOC109425168, LOC109425169	AMIN001411
OG0000272	LOC134291341, LOC109418728	AMIN008763
OG0000272	LOC134291363	AMIN008100
OG0000273	LOC109431749	AMIN015825
OG0000273	LOC109401498	AMIN002200
OG0000274	LOC109399255, LOC109399254	AMIN006742
OG0000276	LOC109424686, LOC109424707, LOC109424689, LOC134284290, LOC109424688	AMIN008276
OG0000277	LOC134291511, LOC134284201	AMIN000409
OG0000278	LOC109423828	AMIN011462, AMIN011446, AMIN011465
OG0000279	LOC115265811	AMIN014755
OG0000280	LOC109398599	AMIN006822, AMIN006823
OG0000285	LOC109412583	AMIN002977
OG0000285	LOC109412586	AMIN015604, AMIN015606
OG0000286	LOC134288579, LOC109419311, LOC115265212, LOC109419306, LOC109419312, LOC109399258, LOC134291529	AMIN001250
OG0000287	LOC109418186	AMIN015655, AMIN015654, AMIN015652, AMIN015653
OG0000288	LOC109622664, LOC109429650, LOC109407355, LOC109417774	AMIN001788
OG0000289	LOC134289615, LOC134290940, LOC134289612	AMIN009186
OG0000290	LOC109407690, LOC134283955, LOC115268390	AMIN015559, AMIN008540, AMIN015558
OG0000291	LOC109399285	AMIN007862
OG0000291	LOC115254554	AMIN008053, AMIN008052
OG0000292	LOC134287964	AMIN006672
OG0000292	LOC134287045	AMIN006670
OG0000293	LOC109402618	AMIN005398
OG0000294	LOC109421880	AMIN005760
OG0000294	LOC109421875	AMIN005761
OG0000295	LOC109411828, LOC115264669, LOC109411823, LOC109411826, LOC115254136	AMIN008699, AMIN016301, AMIN016300
OG0000297	LOC115256454, LOC115256453	AMIN015904
OG0000297	LOC109427517	AMIN015903
OG0000299	LOC109420459	AMIN002531
OG0000299	LOC109426283, LOC109426282	AMIN008559
OG0000300	LOC115264061	AMIN010132
OG0000302	LOC109409795, LOC109412825	AMIN016306
OG0000302	LOC109409797	AMIN010574
OG0000303	LOC109423438	AMIN000132
OG0000304	LOC115266210, LOC109622152	AMIN001010
OG0000305	LOC109417728	AMIN007189
OG0000306	LOC109427899, LOC115263988	AMIN006304, AMIN006305
OG0000311	LOC134284264	AMIN000004
OG0000317	LOC109415509, LOC109400841, LOC109415510, LOC115261320	AMIN004815
OG0000318	LOC115266503	AMIN007124, AMIN007158, AMIN007123, AMIN007122
OG0000319	LOC109419083	AMIN001372
OG0000319	LOC109404744	AMIN001373, AMIN011132
OG0000321	LOC134285621	AMIN015801, AMIN015802
OG0000321	LOC134285147	AMIN007046
OG0000324	LOC115268591	AMIN009157
OG0000324	LOC109621385	AMIN009156
OG0000325	LOC109402478, LOC109621375, LOC109410004	AMIN010396
OG0000326	LOC109406334	AMIN004016
OG0000326	LOC115257242	AMIN003194
OG0000327	LOC109407226	AMIN006782
OG0000328	LOC109410565	AMIN008593
OG0000328	LOC115268300	AMIN008592
OG0000329	LOC109429565	AMIN001843
OG0000329	LOC109429983	AMIN001842
