Orthogroup	AaegyptiLVP_AGWG	AstephensiUCISS2018
OG0000060	AAEL004748, AAEL004760, AAEL004764, AAEL004742, AAEL004765	ASTEI20_045967
OG0000061	AAEL026011, AAEL007673	ASTEI20_045924, ASTEI20_044992
OG0000061	AAEL006719	ASTEI20_042918
OG0000061	AAEL013421, AAEL008451	ASTEI20_042895
OG0000062	AAEL015533	ASTEI20_044163, ASTEI20_037850, ASTEI20_042947, ASTEI20_042271, ASTEI20_035743, ASTEI20_044072
OG0000063	AAEL005771, AAEL005788	ASTEI20_042329, ASTEI20_039640
OG0000063	AAEL020266, AAEL000320, AAEL012761, AAEL005696, AAEL005700, AAEL024573, AAEL000326, AAEL000357, AAEL029116, AAEL005775, AAEL017215, AAEL000338	ASTEI20_041397
OG0000064	AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403	ASTEI20_036363, ASTEI20_032269
OG0000064	AAEL017501	ASTEI20_045444
OG0000067	AAEL003434	ASTEI20_033258
OG0000067	AAEL000678, AAEL000647	ASTEI20_038682
OG0000067	AAEL000642	ASTEI20_040377
OG0000067	AAEL009524	ASTEI20_044258
OG0000067	AAEL000667	ASTEI20_046110
OG0000068	AAEL024556	ASTEI20_040313
OG0000068	AAEL013512, AAEL013520, AAEL007194, AAEL007192, AAEL013514	ASTEI20_042702
OG0000068	AAEL011444	ASTEI20_045828
OG0000068	AAEL013515	ASTEI20_032296
OG0000069	AAEL015136	ASTEI20_035338
OG0000069	AAEL009556, AAEL009555, AAEL009553	ASTEI20_038112, ASTEI20_039804, ASTEI20_031615
OG0000071	AAEL007812	ASTEI20_044717
OG0000071	AAEL002085, AAEL003399	ASTEI20_033179
OG0000071	AAEL013798	ASTEI20_041551, ASTEI20_037620, ASTEI20_035007
OG0000072	AAEL013229	ASTEI20_043809
OG0000072	AAEL006642	ASTEI20_038057
OG0000072	AAEL012424	ASTEI20_045176
OG0000072	AAEL026111, AAEL004172	ASTEI20_045641, ASTEI20_039665
OG0000073	AAEL007136	ASTEI20_036269
OG0000073	AAEL007131	ASTEI20_033743
OG0000073	AAEL007128	ASTEI20_037565
OG0000074	AAEL011460, AAEL011454	ASTEI20_035123, ASTEI20_041942, ASTEI20_036102, ASTEI20_035843, ASTEI20_043301
OG0000074	AAEL011449	ASTEI20_031364
OG0000075	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439	ASTEI20_043256, ASTEI20_044173, ASTEI20_045639, ASTEI20_041998, ASTEI20_037835
OG0000076	AAEL003992	ASTEI20_040347, ASTEI20_035431, ASTEI20_040002, ASTEI20_045335
OG0000077	AAEL021375	ASTEI20_041229
OG0000077	AAEL026915	ASTEI20_037597
OG0000077	AAEL015020, AAEL015573, AAEL015021	ASTEI20_042788, ASTEI20_038766
