Orthogroup	LlongipalpisASM	AaegyptiLVP_AGWG
OG0000208	LOC129796425	AAEL008274, AAEL008259, AAEL027364, AAEL023637, AAEL008283
OG0000209	LOC129787514, LOC129785969	AAEL009411, AAEL020200, AAEL013025, AAEL023532, AAEL021302
OG0000217	LOC129790202	AAEL002994
OG0000217	LOC129790328	AAEL001622
OG0000217	LOC129793020	AAEL003013
OG0000218	LOC129795659	AAEL002022, AAEL001964, AAEL001969, AAEL002028
OG0000220	LOC129787563	AAEL002964, AAEL002969, AAEL002959, AAEL002972
OG0000222	LOC129788692	AAEL021010, AAEL019957, AAEL026731, AAEL011822, AAEL004240
OG0000223	LOC129786636	AAEL006487, AAEL006995, AAEL007016
OG0000224	LOC129786419	AAEL006835
OG0000225	LOC129797834, LOC129797833	AAEL014413, AAEL014411, AAEL014412
OG0000229	LOC129787399, LOC129793458	AAEL000515, AAEL000505, AAEL024475
OG0000231	LOC129794015	AAEL001743, AAEL001735, AAEL008873, AAEL008866, AAEL008869, AAEL008872
OG0000232	LOC129791885	AAEL002043, AAEL026706
OG0000233	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369	AAEL007602, AAEL003060, AAEL009843
OG0000234	LOC129793719, LOC129790671	AAEL019609, AAEL007447, AAEL007449
OG0000235	LOC129790399, LOC129790400	AAEL008843, AAEL008580, AAEL024616
OG0000236	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313	AAEL009206
OG0000237	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873	AAEL022081, AAEL012350
OG0000238	LOC129792859	AAEL020346
OG0000244	LOC129788572	AAEL001196, AAEL000597
OG0000245	LOC129788329, LOC129791448, LOC129788328	AAEL010893, AAEL000843, AAEL010894
OG0000248	LOC129790447	AAEL001822, AAEL001816, AAEL018042, AAEL018041
OG0000250	LOC129791946	AAEL004580
OG0000250	LOC129792061	AAEL004582, AAEL004575
OG0000254	LOC129794727, LOC129794738	AAEL012040, AAEL009916, AAEL009798, AAEL012176
OG0000259	LOC129789876, LOC129791517	AAEL022953, AAEL025308
OG0000259	LOC129794510	AAEL023720, AAEL020899
OG0000265	LOC129794745	AAEL008213, AAEL008211, AAEL000249
OG0000266	LOC129788826	AAEL013662, AAEL000757
OG0000267	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464	AAEL001061, AAEL010582
OG0000268	LOC129790334, LOC129790344	AAEL002690, AAEL002692
OG0000269	LOC129786292	AAEL003195, AAEL026083, AAEL023346, AAEL003196, AAEL020734, AAEL021498, AAEL003181, AAEL022449, AAEL003201, AAEL028198, AAEL003187, AAEL024002
OG0000270	LOC129795988	AAEL003444, AAEL003439
OG0000271	LOC129789622	AAEL004778, AAEL017453, AAEL004739
OG0000272	LOC129792269	AAEL008861, AAEL008858, AAEL008876
OG0000273	LOC129794573, LOC129794527, LOC129794600	AAEL008928, AAEL008931
OG0000274	LOC129788675, LOC129795658, LOC129788672, LOC129795638	AAEL010098, AAEL010099, AAEL024977
OG0000277	LOC129791521	AAEL013198, AAEL026420
OG0000278	LOC129786521, LOC129791056, LOC129791052	AAEL013217
OG0000280	LOC129794053	AAEL029034, AAEL029031, AAEL020258
OG0000286	LOC129786965	AAEL022696, AAEL000613, AAEL000628, AAEL000614, AAEL006465, AAEL017294
OG0000289	LOC129789651, LOC129789648, LOC129789646	AAEL003317, AAEL003297, AAEL003298
OG0000290	LOC129794578	AAEL004103, AAEL004092
OG0000291	LOC129796116	AAEL004592
OG0000291	LOC129791815	AAEL024570
OG0000292	LOC129789397	AAEL004935, AAEL004923
OG0000293	LOC129794823, LOC129788774	AAEL019520, AAEL005702, AAEL010609
OG0000294	LOC129789645	AAEL022989, AAEL007040
OG0000294	LOC129789635	AAEL006160
OG0000296	LOC129789943	AAEL006424, AAEL026087, AAEL006417
OG0000297	LOC129791271, LOC129795319, LOC129790452, LOC129793248	AAEL006818, AAEL006829
OG0000299	LOC129797703	AAEL007893, AAEL008152, AAEL027985, AAEL008159
OG0000301	LOC129791350	AAEL011053
OG0000302	LOC129794019, LOC129794016	AAEL015566, AAEL015567, AAEL011499
OG0000303	LOC129786927	AAEL019496, AAEL026551, AAEL011563
OG0000304	LOC129788607	AAEL014541
OG0000304	LOC129788353	AAEL014537
OG0000305	LOC129788936	AAEL019599
OG0000306	LOC129792581	AAEL022773
OG0000319	LOC129792976, LOC129792973	AAEL026313, AAEL027346, AAEL001010
OG0000324	LOC129791049	AAEL005749, AAEL005752, AAEL005763
OG0000325	LOC129793668	AAEL005884, AAEL005759, AAEL007339, AAEL005890
OG0000326	LOC129786690	AAEL007169, AAEL006077
OG0000327	LOC129788407	AAEL006684, AAEL012580, AAEL021830, AAEL024894, AAEL019749, AAEL019750, AAEL027138, AAEL010580, AAEL006679, AAEL022785, AAEL025034
OG0000328	LOC129795928	AAEL026562, AAEL006696, AAEL022561, AAEL006692
OG0000329	LOC129790306	AAEL008634, AAEL008622
OG0000330	LOC129790371	AAEL012245, AAEL009580
OG0000331	LOC129786465	AAEL011658, AAEL011662
OG0000332	LOC129787519	AAEL011931
OG0000333	LOC129792561	AAEL012421
OG0000334	LOC129789420, LOC129789377, LOC129789388, LOC129789243, LOC129789387, LOC129789380, LOC129789362, LOC129789379, LOC129789244, LOC129789242, LOC129789359, LOC129789374	AAEL013154
OG0000336	LOC129790183, LOC129792929	AAEL024525, AAEL021016
OG0000337	LOC129794112	AAEL022318, AAEL024484
OG0000344	LOC129796894, LOC129796895, LOC129786968	AAEL000073, AAEL012377
OG0000345	LOC129786395	AAEL000200, AAEL000165
OG0000349	LOC129793891	AAEL013991, AAEL013997, AAEL001041
OG0000350	LOC129793586	AAEL001248, AAEL001256, AAEL001278, AAEL001258, AAEL014835, AAEL001286, AAEL001263
OG0000351	LOC129794682	AAEL001519, AAEL001509
OG0000352	LOC129786247	AAEL024332, AAEL001566
OG0000352	LOC129786294	AAEL005791
OG0000353	LOC129794007	AAEL001745, AAEL001732, AAEL001740
OG0000354	LOC129787091	AAEL006113, AAEL002541
OG0000355	LOC129787439	AAEL002967, AAEL002979
OG0000356	LOC129786611, LOC129786607, LOC129786612, LOC129786240	AAEL003069
OG0000357	LOC129797618	AAEL003506, AAEL003504
OG0000358	LOC129787783, LOC129797167, LOC129797169, LOC129797027, LOC129797035, LOC129797023, LOC129797038, LOC129797042, LOC129787344, LOC129787327, LOC129787329, LOC129787336, LOC129787342, LOC129787333, LOC129787334, LOC129787352, LOC129787351	AAEL006123
OG0000359	LOC129793872	AAEL010434, AAEL006138, AAEL006126
OG0000360	LOC129793800	AAEL006355, AAEL006361
OG0000360	LOC129796548	AAEL006337
OG0000363	LOC129797000	AAEL009863, AAEL009860, AAEL020112, AAEL022139
OG0000364	LOC129791717	AAEL011346, AAEL011348, AAEL009968
OG0000365	LOC129787071	AAEL011314, AAEL011313
OG0000367	LOC129794337, LOC129792101, LOC129795024	AAEL012509
OG0000368	LOC129790768, LOC129790769, LOC129796330, LOC129790703, LOC129790738, LOC129790737, LOC129790736	AAEL012866, AAEL012870, AAEL012860
OG0000369	LOC129790261	AAEL015073, AAEL022846, AAEL019808
OG0000370	LOC129794441, LOC129794442, LOC129794443	AAEL017446
OG0000370	LOC129786379	AAEL017182
OG0000371	LOC129794045	AAEL019862
OG0000372	LOC129790937	AAEL023438, AAEL021785
OG0000381	LOC129792906, LOC129792907, LOC129792591	AAEL008574, AAEL000735
OG0000382	LOC129786797, LOC129796311	AAEL000797
OG0000382	LOC129796310	AAEL000834
OG0000383	LOC129785995	AAEL000810
OG0000383	LOC129787610, LOC129794998	AAEL019951
